STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00451496,CLEARWATER WA US,19000403,144,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000404,128,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000405,117,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000406,117,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000407,83,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000408,117,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000409,139,-11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000410,200,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19000411,139,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000412,144,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000413,144,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000414,133,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000415,150,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000416,206,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000417,178,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000418,139,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000419,133,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000420,156,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000421,133,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000422,133,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000423,156,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19000424,128,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000425,128,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19000426,122,-17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000427,139,-11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000428,222,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000429,289,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19000430,194,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000501,161,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000502,183,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000503,189,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000504,183,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000505,167,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000506,128,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000507,172,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000508,183,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000509,172,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000510,194,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000511,161,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000512,139,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000513,156,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000514,178,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000515,139,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000516,189,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000517,183,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000518,200,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000519,200,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000520,200,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000521,178,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000522,178,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000523,139,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19000524,167,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000525,161,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000526,161,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19000527,150,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000528,194,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000529,206,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000530,239,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000531,189,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000601,194,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000602,178,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000603,178,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000604,189,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000605,183,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000606,178,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000607,200,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000608,183,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000609,217,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000610,211,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000611,239,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000612,289,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000613,256,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000614,217,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000615,217,128,-9999
GHCND:USC00451496,CLEARWATER WA US,19000616,178,139,-9999
GHCND:USC00451496,CLEARWATER WA US,19000617,189,133,-9999
GHCND:USC00451496,CLEARWATER WA US,19000618,200,128,-9999
GHCND:USC00451496,CLEARWATER WA US,19000619,178,139,-9999
GHCND:USC00451496,CLEARWATER WA US,19000620,172,144,-9999
GHCND:USC00451496,CLEARWATER WA US,19000621,206,128,-9999
GHCND:USC00451496,CLEARWATER WA US,19000622,189,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000623,211,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000624,206,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000625,189,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000626,206,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000627,233,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000628,189,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000629,189,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000630,183,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000701,194,117,-9999
GHCND:USC00451496,CLEARWATER WA US,19000702,206,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000703,206,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000704,194,122,-9999
