STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00312719,ELIZABETH CITY NC US,19160403,144,72,100
GHCND:USC00312719,ELIZABETH CITY NC US,19160404,122,61,117
GHCND:USC00312719,ELIZABETH CITY NC US,19160405,194,50,167
GHCND:USC00312719,ELIZABETH CITY NC US,19160406,167,56,128
GHCND:USC00312719,ELIZABETH CITY NC US,19160407,128,22,72
GHCND:USC00312719,ELIZABETH CITY NC US,19160408,106,39,83
GHCND:USC00312719,ELIZABETH CITY NC US,19160409,111,17,100
GHCND:USC00312719,ELIZABETH CITY NC US,19160410,144,11,128
GHCND:USC00312719,ELIZABETH CITY NC US,19160411,194,11,178
GHCND:USC00312719,ELIZABETH CITY NC US,19160412,200,11,183
GHCND:USC00312719,ELIZABETH CITY NC US,19160413,300,83,267
GHCND:USC00312719,ELIZABETH CITY NC US,19160414,306,167,256
GHCND:USC00312719,ELIZABETH CITY NC US,19160415,256,78,200
GHCND:USC00312719,ELIZABETH CITY NC US,19160416,211,33,161
GHCND:USC00312719,ELIZABETH CITY NC US,19160417,244,100,183
GHCND:USC00312719,ELIZABETH CITY NC US,19160418,211,56,183
GHCND:USC00312719,ELIZABETH CITY NC US,19160419,261,44,183
GHCND:USC00312719,ELIZABETH CITY NC US,19160420,317,122,256
GHCND:USC00312719,ELIZABETH CITY NC US,19160421,289,161,233
GHCND:USC00312719,ELIZABETH CITY NC US,19160422,233,122,172
GHCND:USC00312719,ELIZABETH CITY NC US,19160423,250,72,156
GHCND:USC00312719,ELIZABETH CITY NC US,19160424,222,33,144
GHCND:USC00312719,ELIZABETH CITY NC US,19160425,222,33,144
GHCND:USC00312719,ELIZABETH CITY NC US,19160426,222,28,167
GHCND:USC00312719,ELIZABETH CITY NC US,19160427,206,67,167
GHCND:USC00312719,ELIZABETH CITY NC US,19160428,172,39,128
GHCND:USC00312719,ELIZABETH CITY NC US,19160429,167,56,122
GHCND:USC00312719,ELIZABETH CITY NC US,19160430,239,56,206
GHCND:USC00312719,ELIZABETH CITY NC US,19160501,289,61,250
GHCND:USC00312719,ELIZABETH CITY NC US,19160502,317,150,267
GHCND:USC00312719,ELIZABETH CITY NC US,19160503,283,144,233
GHCND:USC00312719,ELIZABETH CITY NC US,19160504,278,183,244
GHCND:USC00312719,ELIZABETH CITY NC US,19160505,267,133,244
GHCND:USC00312719,ELIZABETH CITY NC US,19160506,283,111,239
GHCND:USC00312719,ELIZABETH CITY NC US,19160507,328,111,272
GHCND:USC00312719,ELIZABETH CITY NC US,19160508,306,128,256
GHCND:USC00312719,ELIZABETH CITY NC US,19160509,294,183,233
GHCND:USC00312719,ELIZABETH CITY NC US,19160510,289,106,250
GHCND:USC00312719,ELIZABETH CITY NC US,19160511,344,194,306
GHCND:USC00312719,ELIZABETH CITY NC US,19160512,306,172,200
GHCND:USC00312719,ELIZABETH CITY NC US,19160513,261,100,222
GHCND:USC00312719,ELIZABETH CITY NC US,19160514,272,167,239
GHCND:USC00312719,ELIZABETH CITY NC US,19160515,278,161,228
GHCND:USC00312719,ELIZABETH CITY NC US,19160516,261,189,244
GHCND:USC00312719,ELIZABETH CITY NC US,19160517,250,128,217
GHCND:USC00312719,ELIZABETH CITY NC US,19160518,244,72,222
GHCND:USC00312719,ELIZABETH CITY NC US,19160519,222,117,183
GHCND:USC00312719,ELIZABETH CITY NC US,19160520,244,72,222
GHCND:USC00312719,ELIZABETH CITY NC US,19160521,267,94,239
GHCND:USC00312719,ELIZABETH CITY NC US,19160522,239,61,200
GHCND:USC00312719,ELIZABETH CITY NC US,19160523,239,156,206
GHCND:USC00312719,ELIZABETH CITY NC US,19160524,206,161,178
GHCND:USC00312719,ELIZABETH CITY NC US,19160525,261,156,256
