STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401107,78,-11,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401108,100,-6,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401109,94,-28,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401110,72,-56,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401111,106,22,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401112,128,78,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401113,83,44,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401114,50,28,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401115,67,33,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401116,72,-11,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401117,44,-28,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401118,67,-39,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401119,56,-67,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401120,128,6,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401121,100,-33,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401122,167,44,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401123,94,-6,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401124,28,-17,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401125,11,-72,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401126,6,-100,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401127,-50,-89,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401128,0,-144,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401129,17,-150,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401130,28,-117,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401201,28,-122,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401202,-28,-161,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401203,-67,-200,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401204,-94,-267,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401205,-67,-122,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401206,-28,-156,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401207,67,-150,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401208,72,-6,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401209,22,-106,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401210,39,-144,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401211,33,-72,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401212,11,-72,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401213,39,-117,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401214,-11,-161,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401215,11,-167,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401216,0,-100,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401217,22,-100,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401218,11,-139,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401219,11,-128,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401220,44,-39,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401221,39,-11,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401222,39,-44,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401223,-11,-122,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401224,0,-128,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401225,39,-122,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401226,11,-50,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401227,44,0,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401228,28,6,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401229,39,11,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401230,33,17,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19401231,61,-33,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410101,33,-39,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410102,0,-67,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410103,-6,-56,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410104,11,-39,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410105,0,-67,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410106,-17,-150,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410107,-17,-233,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410108,-11,-222,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410109,-17,-228,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410110,11,-100,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410111,-50,-111,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410112,11,-78,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410113,-22,-189,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410114,-89,-256,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410115,-89,-244,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410116,-50,-156,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410117,0,-72,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,19410118,-6,-22,-9999
